Version	Grade	Origin Text	Component	Edited	id	Sub Genre	Genre
13	ULTIMATE Collector's Edition		RC 24	TRUE	125	クリエイティブエフェクト	エフェクト
13	ULTIMATE Collector's Edition		TRUE SCHOOL	TRUE	198	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		VELVET LOUNGE	TRUE	204	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		DEEP MATTER	TRUE	40	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		SOLAR BREEZE	TRUE	160	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		LILAC GLARE	TRUE	81	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		HALCYON SKY	TRUE	64	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		LUCID MISSION	TRUE	86	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		NEON DRIVE	TRUE	108	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		QUEENSBRIDGE STORY	TRUE	121	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MOLTEN VEIL	TRUE	104	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		ELASTIC THUMP	TRUE	46	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		LONDON GRIT	TRUE	84	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		DECODED FORMS	TRUE	39	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		INDIGO DUST	TRUE	70	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		RISING CRESCENT	TRUE	135	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		GLOBAL SHAKE	TRUE	58	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		DROP SQUAD	TRUE	44	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		PLATINUM BOUNCE	TRUE	114	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		LAZER DICE	TRUE	80	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MARBLE RIMS	TRUE	90	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		CARIBBEAN CURRENT	TRUE	29	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		ASTRAL FLUTTER	TRUE	21	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		CAVERN FLOOR	TRUE	30	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		GOLDEN KINGDOM	TRUE	59	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		BYTE RIOT	TRUE	27	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		DISTRICT XEO	TRUE	41	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MAGNETIC COAST	TRUE	88	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		OPALINE DRIFT	TRUE	111	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		WARPED SYMMETRY	TRUE	207	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		PRISMATIC BLISS	TRUE	117	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MOTOR IMPACT	TRUE	106	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MAGNATE HUSTLE	TRUE	87	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		LONE FOREST	TRUE	85	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		CIRCUIT HALO	TRUE	31	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		STREET SWARM	TRUE	170	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		HEADLAND FLOW	TRUE	65	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		SIERRA GROVE	TRUE	158	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		TRANSISTOR PUNCH	TRUE	196	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		GREY FORGE	TRUE	60	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		ARCANE ATTIC	TRUE	16	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		RAW VOLTAGE	TRUE	123	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		VINTAGE HEAT	TRUE	205	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		PULSWERK	TRUE	119	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		HEXAGON HIGHWAY	TRUE	66	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		STATIC FRICTION	TRUE	166	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		CONANT GARDENS	TRUE	33	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		AMPLIFIED FUNK	TRUE	12	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		TIMELESS GLOW	TRUE	194	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		METEORIC RISE	TRUE	95	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		CARBON DECAY	TRUE	28	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		INFAMOUS FLOW	TRUE	71	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		POLAR FLARE	TRUE	115	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MIDNIGHT SUNSET	TRUE	97	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		ANIMA ASCENT	TRUE	14	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		AQUARIUS EARTH	TRUE	15	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		BASEMENT ERA	TRUE	23	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		FADED REELS	TRUE	53	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		IGNITION CODE	TRUE	68	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		INFINITE ESCAPE	TRUE	72	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		LOCKDOWN GRIND	TRUE	83	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		PURE DRIP	TRUE	120	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		ARTIST EXPANSION: DJ KHALIL	TRUE	18	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		ARTIST EXPANSION: SASHA	TRUE	19	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		ARTIST EXPANSION: THE STEREOTYPES	TRUE	20	Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		NOCTURNAL STATE	TRUE	109	MASSIVE Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		SPECTRUM QUAKE	TRUE	164	MASSIVE Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		STADIUM FLEX	TRUE	165	MASSIVE Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MECHANIX	TRUE	94	MASSIVE X Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		MOEBIUS	TRUE	102	MASSIVE X Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		PULSE	TRUE	118	MASSIVE X Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		RUSH	TRUE	137	MASSIVE X Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		SCENE	TRUE	148	MASSIVE X Expansions	EXPANSIONS
13	ULTIMATE Collector's Edition		DRIVE	TRUE	42	MASSIVE X Expansions	EXPANSIONS
				TRUE			
13	ULTIMATE		KOMPLETE KONTROLソフトウェア	TRUE	75		プラットフォーム
13	ULTIMATE		REAKTOR 6	TRUE	127		プラットフォーム
13	ULTIMATE		KONTAKT 6	TRUE	77		プラットフォーム
13	ULTIMATE		MASSIVE	TRUE	92		シンセサイザー
13	ULTIMATE		MONARK	TRUE	105		シンセサイザー
13	ULTIMATE		RETRO MACHINES MK2	TRUE	133		シンセサイザー
13	ULTIMATE		REAKTOR PRISM	TRUE	129		シンセサイザー
13	ULTIMATE		REAKTOR SPARK	TRUE	130		シンセサイザー
13	ULTIMATE		BLOCKS PRIMES	TRUE	25		シンセサイザー
13	ULTIMATE		MASSIVE X	TRUE	93		シンセサイザー
13	ULTIMATE		SUPER 8	TRUE	172		シンセサイザー
13	ULTIMATE		TRK-01	TRUE	197		シンセサイザー
13	ULTIMATE		FORM	TRUE	56		シンセサイザー
13	ULTIMATE		ROUNDS	TRUE	136		シンセサイザー
13	ULTIMATE		KONTOUR	TRUE	79		シンセサイザー
13	ULTIMATE		ABSYNTH 5	TRUE	7		シンセサイザー
13	ULTIMATE		FM8	TRUE	55		シンセサイザー
13	ULTIMATE		RAZOR	TRUE	124		シンセサイザー
13	ULTIMATE		SKANNER XT	TRUE	159		シンセサイザー
13	ULTIMATE		POLYPLEX	TRUE	116		クリエイティブサンプラー
13	ULTIMATE		BATTERY 4	TRUE	24		クリエイティブサンプラー
13	ULTIMATE		FLESH	TRUE	54		クリエイティブサンプラー
13	ULTIMATE		ETHEREAL EARTH	TRUE	49	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		HYBRID KEYS	TRUE	67	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		LO-FI GLOW	TRUE	82	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		CLOUD SUPPLY	TRUE	32	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		MODULAR ICONS	TRUE	101	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		ANALOG DREAMS	TRUE	13	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		BUTCH VIG DRUMS	TRUE	26	Play Seriesインストゥルメント	サンプルインストゥルメント
13	ULTIMATE		THE GENTLEMAN	TRUE	188	アコースティックピアノ	サンプルインストゥルメント
